UITVOERDER;TITEL;;;;;;;;;;;;Uitvoerder;Titel
Police;Message in a bottle;;;;;;;;;;;;Police;*Message in a bottle
Police;Roxanne;;;;;;;;;;;;Police;*Roxanne
Police;So Lonely;;;;;;;;;;;;Police;*So Lonely
Police;Walking on the Moon;;;;;;;;;;;;Police;*Walking on the Moon
Police;Wrapped around your finger;;;;;;;;;;;;Police;*Wrapped around your finger
Portishead;Glory Box;;;;;;;;;;;;Portishead;*Glory Box
Portugal The Man;Feel It Still;;;;;;;;;;;;Portugal The Man;*Feel It Still
Potbelleez;Don't Hold Back;;;;;;;;;;;;Potbelleez;*Don't Hold Back
Powder Finger;Lost and Running;;;;;;;;;;;;Powder Finger;*Lost and Running
Presidents of the United States of America;Lump;;;;;;;;;;;;Presidents of the United States of America;*Lump
Pretenders;Back on the chain gang;;;;;;;;;;;;Pretenders;*Back on the chain gang
Pretenders;Brass In Pocket;;;;;;;;;;;;Pretenders;*Brass In Pocket
Pretenders;Don't get me wrong;;;;;;;;;;;;Pretenders;*Don't get me wrong
Pretenders;Hymn to Her;;;;;;;;;;;;Pretenders;*Hymn to Her
Pretenders;I´ll Stand By You;;;;;;;;;;;;Pretenders;*I´ll Stand By You
Pretenders ;Have Yourself A Merry Little Christmas;;;;;;;;;;;;Pretenders ;*Have Yourself A Merry Little Christmas
Prince;Kiss;;;;;;;;;;;;Prince;*Kiss
Prince;Purple Rain;;;;;;;;;;;;Prince;*Purple Rain
Prince;When Doves Cry;;;;;;;;;;;;Prince;*When Doves Cry
Prince and The New Power Generation;Cream;;;;;;;;;;;;Prince and The New Power Generation;*Cream
Princess;Say I'm your number one;;;;;;;;;;;;Princess;*Say I'm your number one
Proclaimers;I'm gonna be (500 miles);;;;;;;;;;;;Proclaimers;*I'm gonna be (500 miles)
Procol Harum;A whiter shade of pale;;;;;;;;;;;;Procol Harum;*A whiter shade of pale
Prodigy;No Good (Start the Dance);;;;;;;;;;;;Prodigy;*No Good (Start the Dance)
Propaganda;Duel;;;;;;;;;;;;Propaganda;*Duel
Psy;Gangnam Style;;;;;;;;;;;;Psy;*Gangnam Style
Pulp;Common People;;;;;;;;;;;;Pulp;*Common People
Pulp;Disco 2000;;;;;;;;;;;;Pulp;*Disco 2000
Purple Disco Machine;Hypnotized;;;;;;;;;;;;Purple Disco Machine;*Hypnotized
Purple Disco Machine ft ÁSDÍS;Beat Of Your Heart;;;;;;;;;;;;Purple Disco Machine ft ÁSDÍS;*Beat Of Your Heart
Purple Disco Machine ft Kungs;Substitution;;;;;;;;;;;;Purple Disco Machine ft Kungs;*Substitution
Pussycat Dolls;Buttons;;;;;;;;;;;;Pussycat Dolls;*Buttons
Pussycat Dolls;Don't Cha;;;;;;;;;;;;Pussycat Dolls;*Don't Cha
Pussycat Dolls;I Don't need a Man;;;;;;;;;;;;Pussycat Dolls;*I Don't need a Man
Pussycat Dolls;Jai Ho;;;;;;;;;;;;Pussycat Dolls;*Jai Ho
Pussycat Dolls;Stickwitu;;;;;;;;;;;;Pussycat Dolls;*Stickwitu
Pussycat Dolls;When I Grow Up;;;;;;;;;;;;Pussycat Dolls;*When I Grow Up
Queen;A kind of magic;;;;;;;;;;;;Queen;*A kind of magic
Queen;Another One Bites The Dust;;;;;;;;;;;;Queen;*Another One Bites The Dust
Queen;Bicycle Race (Freddie / backing);;;;;;;;;;;;Queen;*Bicycle Race (Freddie / backing)
Queen;Bohemian Rhapsody (Freddie / backing);;;;;;;;;;;;Queen;*Bohemian Rhapsody (Freddie / backing)
Queen;Breakthru;;;;;;;;;;;;Queen;*Breakthru
Queen;Crazy Little Thing Called Love;;;;;;;;;;;;Queen;*Crazy Little Thing Called Love
Queen;Don't Stop Me Now;;;;;;;;;;;;Queen;*Don't Stop Me Now
Queen;Fat Bottomed Girls (Freddie / backing);;;;;;;;;;;;Queen;*Fat Bottomed Girls (Freddie / backing)
Queen;I Want It All;;;;;;;;;;;;Queen;*I Want It All
Queen;I Want To Break Free;;;;;;;;;;;;Queen;*I Want To Break Free
Queen;Innuendo;;;;;;;;;;;;Queen;*Innuendo
Queen;Killer Queen;;;;;;;;;;;;Queen;*Killer Queen
Queen;One Vision;;;;;;;;;;;;Queen;*One Vision
Queen;Play The Game (Freddie / backing);;;;;;;;;;;;Queen;*Play The Game (Freddie / backing)
Queen;Radio Ga Ga;;;;;;;;;;;;Queen;*Radio Ga Ga
Queen;Somebody To Love;;;;;;;;;;;;Queen;*Somebody To Love
Queen;Thank God It’s Christmas;;;;;;;;;;;;Queen;*Thank God It’s Christmas
Queen;The Show Must Go On;;;;;;;;;;;;Queen;*The Show Must Go On
Queen;These Are The Days Of Our Lives;;;;;;;;;;;;Queen;*These Are The Days Of Our Lives
Queen;Tie Your Mother Down;;;;;;;;;;;;Queen;*Tie Your Mother Down
Queen;Too Much Love Will Kill You;;;;;;;;;;;;Queen;*Too Much Love Will Kill You
Queen;Under Pressure (Freddie / David);;;;;;;;;;;;Queen;*Under Pressure (Freddie / David)
Queen;We Are The Champions;;;;;;;;;;;;Queen;*We Are The Champions
Queen;We Will Rock You;;;;;;;;;;;;Queen;*We Will Rock You
Queen;Who Wants To Live Forever;;;;;;;;;;;;Queen;*Who Wants To Live Forever
Queen;You're My Best Friend;;;;;;;;;;;;Queen;*You're My Best Friend
Queens Of The Stone Age;Go With The Flow;;;;;;;;;;;;Queens Of The Stone Age;*Go With The Flow
Queens Of The Stone Age;Little Sister;;;;;;;;;;;;Queens Of The Stone Age;*Little Sister
Queens Of The Stone Age;Make It Wit Chu;;;;;;;;;;;;Queens Of The Stone Age;*Make It Wit Chu
Queens Of The Stone Age;No One Knows;;;;;;;;;;;;Queens Of The Stone Age;*No One Knows
Queens Of The Stone Age;The Lost Art Of Keeping A Secret;;;;;;;;;;;;Queens Of The Stone Age;*The Lost Art Of Keeping A Secret
Quiet Riot;Cum On Feel The Noize;;;;;;;;;;;;Quiet Riot;*Cum On Feel The Noize
R Kelly;I Believe I Can Fly;;;;;;;;;;;;R Kelly;*I Believe I Can Fly
R.E.M.;Everybody Hurts;;;;;;;;;;;;R.E.M.;*Everybody Hurts
R.E.M.;It's the end of the world;;;;;;;;;;;;R.E.M.;*It's the end of the world
R.E.M.;Losing My Religion;;;;;;;;;;;;R.E.M.;*Losing My Religion
R.E.M.;Man on the Moon;;;;;;;;;;;;R.E.M.;*Man on the Moon
R.E.M.;Nightswimming;;;;;;;;;;;;R.E.M.;*Nightswimming
R.E.M.;Shiny Happy People;;;;;;;;;;;;R.E.M.;*Shiny Happy People
R.E.M.;The One I Love;;;;;;;;;;;;R.E.M.;*The One I Love
R.E.M.;The Sidewinder Sleeps Tonite;;;;;;;;;;;;R.E.M.;*The Sidewinder Sleeps Tonite
R.E.M.;What's the Frequency, Kenneth;;;;;;;;;;;;R.E.M.;*What's the Frequency, Kenneth
Raconteurs;Steady As She Goes;;;;;;;;;;;;Raconteurs;*Steady As She Goes
Radiohead;Creep;;;;;;;;;;;;Radiohead;*Creep
Radiohead;No Surprises;;;;;;;;;;;;Radiohead;*No Surprises
Radiohead;Paranoid Android;;;;;;;;;;;;Radiohead;*Paranoid Android
Radiohead;Street spirit (fade out);;;;;;;;;;;;Radiohead;*Street spirit (fade out)
Rage Against The Machine;Killing In The Name;;;;;;;;;;;;Rage Against The Machine;*Killing In The Name
Rag'n'Bone Man;Human;;;;;;;;;;;;Rag'n'Bone Man;*Human
Rag'n'Bone Man;Skin;;;;;;;;;;;;Rag'n'Bone Man;*Skin
Rammstein;Amerika;;;;;;;;;;;;Rammstein;*Amerika
Rammstein;Engel;;;;;;;;;;;;Rammstein;*Engel
Rammstein;Feuer Frei;;;;;;;;;;;;Rammstein;*Feuer Frei
Rammstein;Mutter;;;;;;;;;;;;Rammstein;*Mutter
Rammstein;Ohne Dich;;;;;;;;;;;;Rammstein;*Ohne Dich
Rammstein;Pussy;;;;;;;;;;;;Rammstein;*Pussy
Rammstein;Rosenrot;;;;;;;;;;;;Rammstein;*Rosenrot
Rammstein;Sonne;;;;;;;;;;;;Rammstein;*Sonne
Ramones;Blitzkrieg Bop;;;;;;;;;;;;Ramones;*Blitzkrieg Bop
Ramones;I wanna be sedated;;;;;;;;;;;;Ramones;*I wanna be sedated
Ramones;Pet Sematary;;;;;;;;;;;;Ramones;*Pet Sematary
Randfichten;Lebt Denn Dr Alte Holzmichl Noch;;;;;;;;;;;;Randfichten;*Lebt Denn Dr Alte Holzmichl Noch
Rasmus;First day of my life;;;;;;;;;;;;Rasmus;*First day of my life
Rasmus;In The Shadows;;;;;;;;;;;;Rasmus;*In The Shadows
Ray Parker jr.;Ghostbusters;;;;;;;;;;;;Ray Parker jr.;*Ghostbusters
Razorlight;Goldentouch;;;;;;;;;;;;Razorlight;*Goldentouch
Razorlight;In The Morning;;;;;;;;;;;;Razorlight;*In The Morning
Razorlight;Wire To Wire;;;;;;;;;;;;Razorlight;*Wire To Wire
Red Hot Chili Peppers;Breaking The Girl;;;;;;;;;;;;Red Hot Chili Peppers;*Breaking The Girl
Red Hot Chili Peppers;Californication;;;;;;;;;;;;Red Hot Chili Peppers;*Californication
Red Hot Chili Peppers;Can't Stop;;;;;;;;;;;;Red Hot Chili Peppers;*Can't Stop
Red Hot Chili Peppers;Dani California;;;;;;;;;;;;Red Hot Chili Peppers;*Dani California
Red Hot Chili Peppers;Give It Away;;;;;;;;;;;;Red Hot Chili Peppers;*Give It Away
Red Hot Chili Peppers;Otherside;;;;;;;;;;;;Red Hot Chili Peppers;*Otherside
Red Hot Chili Peppers;Scar Tissue;;;;;;;;;;;;Red Hot Chili Peppers;*Scar Tissue
Red Hot Chili Peppers;Snow ((Hey Oh));;;;;;;;;;;;Red Hot Chili Peppers;*Snow ((Hey Oh))
Red Hot Chili Peppers;The adventures of Rain Dance Maggie;;;;;;;;;;;;Red Hot Chili Peppers;*The adventures of Rain Dance Maggie
Red Hot Chili Peppers;Under The Bridge;;;;;;;;;;;;Red Hot Chili Peppers;*Under The Bridge
Rednex;Cotton Eye Joe;;;;;;;;;;;;Rednex;*Cotton Eye Joe
Reel 2 Real;I like to move it;;;;;;;;;;;;Reel 2 Real;*I like to move it
Rembrandts;I'll Be There for You;;;;;;;;;;;;Rembrandts;*I'll Be There for You
REO Speedwagon;Can't fight this feeling;;;;;;;;;;;;REO Speedwagon;*Can't fight this feeling
Republica;Ready To Go;;;;;;;;;;;;Republica;*Ready To Go
Rex Gildo;Fiesta Mexicana;;;;;;;;;;;;Rex Gildo;*Fiesta Mexicana
Richard Marx;Right here waiting;;;;;;;;;;;;Richard Marx;*Right here waiting
Rick Astley;Never gonna give you up;;;;;;;;;;;;Rick Astley;*Never gonna give you up
Rick Astley;Together Forever;;;;;;;;;;;;Rick Astley;*Together Forever
Rick James;Super Freak;;;;;;;;;;;;Rick James;*Super Freak
Ricki-Lee;Can't Sing A Different Song;;;;;;;;;;;;Ricki-Lee;*Can't Sing A Different Song
Ricky Martin;(Un, Dos, Tres) Maria;;;;;;;;;;;;Ricky Martin;*(Un, Dos, Tres) Maria
Ricky Martin;Livin' La Vida Loca;;;;;;;;;;;;Ricky Martin;*Livin' La Vida Loca
Ricky Martin;She bangs;;;;;;;;;;;;Ricky Martin;*She bangs
Ricky Martin & Christina Aguilera;Nobody Wants to Be Lonely (+ duet);;;;;;;;;;;;Ricky Martin & Christina Aguilera;*Nobody Wants to Be Lonely (+ duet)
Ricky Martin ft. Meja;Private Emotion (+ duet);;;;;;;;;;;;Ricky Martin ft. Meja;*Private Emotion (+ duet)
Righeira;Vamos a la playa;;;;;;;;;;;;Righeira;*Vamos a la playa
Righteous Brothers;Unchained Melody;;;;;;;;;;;;Righteous Brothers;*Unchained Melody
Righteous Brothers;You've Lost that Lovin' Feelin' (duet);;;;;;;;;;;;Righteous Brothers;*You've Lost that Lovin' Feelin' (duet)
Rihanna;Diamonds;;;;;;;;;;;;Rihanna;*Diamonds
Rihanna;Don't stop the music;;;;;;;;;;;;Rihanna;*Don't stop the music
Rihanna;Man Down;;;;;;;;;;;;Rihanna;*Man Down
Rihanna;Pon De Replay;;;;;;;;;;;;Rihanna;*Pon De Replay
Rihanna;Rude Boy;;;;;;;;;;;;Rihanna;*Rude Boy
Rihanna;Shut Up And Drive;;;;;;;;;;;;Rihanna;*Shut Up And Drive
Rihanna;SOS;;;;;;;;;;;;Rihanna;*SOS
Rihanna;Take A Bow;;;;;;;;;;;;Rihanna;*Take A Bow
Rihanna;Umbrella;;;;;;;;;;;;Rihanna;*Umbrella
Rihanna;Unfaithful;;;;;;;;;;;;Rihanna;*Unfaithful
Rihanna;We Ride;;;;;;;;;;;;Rihanna;*We Ride
Rihanna ft. Calvin Harris;We Found Love;;;;;;;;;;;;Rihanna ft. Calvin Harris;*We Found Love
Rihanna ft. Drake;Work;;;;;;;;;;;;Rihanna ft. Drake;*Work
Rihanna ft. Eminem;Love The Way You Lie;;;;;;;;;;;;Rihanna ft. Eminem;*Love The Way You Lie
Rihanna, Kanye West & Paul McCartney;Four Five Seconds;;;;;;;;;;;;Rihanna, Kanye West & Paul McCartney;*Four Five Seconds
Rita Ora;Anywhere;;;;;;;;;;;;Rita Ora;*Anywhere
Roachford;Cuddly Toy;;;;;;;;;;;;Roachford;*Cuddly Toy
Roachford;Only To Be With You;;;;;;;;;;;;Roachford;*Only To Be With You
Rob De Nijs;Zondag;;;;;;;;;;;;Rob De Nijs;*Zondag
Robbie Williams;Angels;;;;;;;;;;;;Robbie Williams;*Angels
Robbie Williams;Come Undone;;;;;;;;;;;;Robbie Williams;*Come Undone
Robbie Williams;Eternity;;;;;;;;;;;;Robbie Williams;*Eternity
Robbie Williams;Feel;;;;;;;;;;;;Robbie Williams;*Feel
Robbie Williams;Let Me Entertain You;;;;;;;;;;;;Robbie Williams;*Let Me Entertain You
Robbie Williams;Mr. Bojangles;;;;;;;;;;;;Robbie Williams;*Mr. Bojangles
Robbie Williams;No Regrets;;;;;;;;;;;;Robbie Williams;*No Regrets
Robbie Williams;Rock DJ;;;;;;;;;;;;Robbie Williams;*Rock DJ
Robbie Williams;She's The One;;;;;;;;;;;;Robbie Williams;*She's The One
Robbie Williams;Strong;;;;;;;;;;;;Robbie Williams;*Strong
Robbie Williams;Supreme;;;;;;;;;;;;Robbie Williams;*Supreme
Robbie Williams & Kylie Minogue;Kids (Kylie / Robbie);;;;;;;;;;;;Robbie Williams & Kylie Minogue;*Kids (Kylie / Robbie)
Robbie Williams & Nicole Kidman;Something Stupid;;;;;;;;;;;;Robbie Williams & Nicole Kidman;*Something Stupid
Robert Palmer;Addicted to Love;;;;;;;;;;;;Robert Palmer;*Addicted to Love
Robert Palmer;Johnny and Mary;;;;;;;;;;;;Robert Palmer;*Johnny and Mary
Roberta Flack;Killing me softly with his song;;;;;;;;;;;;Roberta Flack;*Killing me softly with his song
Robin Beck;First Time;;;;;;;;;;;;Robin Beck;*First Time
Robin S.;Show me love;;;;;;;;;;;;Robin S.;*Show me love
Robin Thicke ft. Pharrell Williams;Blurred Lines;;;;;;;;;;;;Robin Thicke ft. Pharrell Williams;*Blurred Lines
Robyn;Call Your Girlfriend;;;;;;;;;;;;Robyn;*Call Your Girlfriend
Robyn;Dancing On My Own;;;;;;;;;;;;Robyn;*Dancing On My Own
Robyn;Hang With Me;;;;;;;;;;;;Robyn;*Hang With Me
Robyn;Indestructible;;;;;;;;;;;;Robyn;*Indestructible
Robyn;Show Me Love;;;;;;;;;;;;Robyn;*Show Me Love
Robyn with Kleerup;With Every Heartbeat;;;;;;;;;;;;Robyn with Kleerup;*With Every Heartbeat
Roch Voisine;Helene;;;;;;;;;;;;Roch Voisine;*Helene
Rockwell;Somebody's watching me;;;;;;;;;;;;Rockwell;*Somebody's watching me
Rod Stewart;Baby Jane;;;;;;;;;;;;Rod Stewart;*Baby Jane
Rod Stewart;Da ya think I´m sexy;;;;;;;;;;;;Rod Stewart;*Da ya think I´m sexy
Rolling Stones;Angie;;;;;;;;;;;;Rolling Stones;*Angie
Rolling Stones;Jumpin´ Jack Flash;;;;;;;;;;;;Rolling Stones;*Jumpin´ Jack Flash
Rolling Stones;Paint It, Black;;;;;;;;;;;;Rolling Stones;*Paint It, Black
Rolling Stones;Satisfaction (I Can't Get No);;;;;;;;;;;;Rolling Stones;*Satisfaction (I Can't Get No)
Rolling Stones;Sympathy For The Devil;;;;;;;;;;;;Rolling Stones;*Sympathy For The Devil
Ronan Keating;Father And Son;;;;;;;;;;;;Ronan Keating;*Father And Son
Ronettes;Be my baby;;;;;;;;;;;;Ronettes;*Be my baby
Rose Royce;Car Wash;;;;;;;;;;;;Rose Royce;*Car Wash
Rose Royce;Wishing on a star;;;;;;;;;;;;Rose Royce;*Wishing on a star
Roxette;Dressed for success;;;;;;;;;;;;Roxette;*Dressed for success
Roxette;How do you do!;;;;;;;;;;;;Roxette;*How do you do!
Roxette;It Must Have Been Love;;;;;;;;;;;;Roxette;*It Must Have Been Love
Roxette;Joyride;;;;;;;;;;;;Roxette;*Joyride
Roxette;Listen To Your Heart;;;;;;;;;;;;Roxette;*Listen To Your Heart
Roxette;The Look;;;;;;;;;;;;Roxette;*The Look
Roxy Music;Love Is The Drug;;;;;;;;;;;;Roxy Music;*Love Is The Drug
Roxy Music;More than this;;;;;;;;;;;;Roxy Music;*More than this
Roy Black & Anita;Schön ist es auf der Welt zu sein (duet);;;;;;;;;;;;Roy Black & Anita;*Schön ist es auf der Welt zu sein (duet)
Roy Orbison;Blue Bayou;;;;;;;;;;;;Roy Orbison;*Blue Bayou
Roy Orbison;Crying;;;;;;;;;;;;Roy Orbison;*Crying
Roy Orbison;In Dreams;;;;;;;;;;;;Roy Orbison;*In Dreams
Roy Orbison;Only the Lonely (Know the Way I Feel);;;;;;;;;;;;Roy Orbison;*Only the Lonely (Know the Way I Feel)
Roy Orbison;Pretty Woman;;;;;;;;;;;;Roy Orbison;*Pretty Woman
Roy Orbison;You got it;;;;;;;;;;;;Roy Orbison;*You got it
Röyksopp & Robyn;Do It Again;;;;;;;;;;;;Röyksopp & Robyn;*Do It Again
Rubettes;Sugar Baby Love;;;;;;;;;;;;Rubettes;*Sugar Baby Love
Rudimental ft. Ella Eyre;Waiting All Night;;;;;;;;;;;;Rudimental ft. Ella Eyre;*Waiting All Night
Run DMC;It's Tricky;;;;;;;;;;;;Run DMC;*It's Tricky
Ryan Paris;Dolce vita;;;;;;;;;;;;Ryan Paris;*Dolce vita
S Club 7;Bring it all back;;;;;;;;;;;;S Club 7;*Bring it all back
S Club 7;Don't Stop Movin';;;;;;;;;;;;S Club 7;*Don't Stop Movin'
Sabrina;Boys (Summertime love);;;;;;;;;;;;Sabrina;*Boys (Summertime love)
Sabrina Carpenter;Espresso;;;;;;;;;;;;Sabrina Carpenter;*Espresso
Sade;Smooth Operator;;;;;;;;;;;;Sade;*Smooth Operator
Sade;Your Love Is King;;;;;;;;;;;;Sade;*Your Love Is King
Salt N' Pepa;Push It;;;;;;;;;;;;Salt N' Pepa;*Push It
Sam Brown;Stop;;;;;;;;;;;;Sam Brown;*Stop
Sam Cooke;Wonderful World;;;;;;;;;;;;Sam Cooke;*Wonderful World
Sam Smith;Diamonds;;;;;;;;;;;;Sam Smith;*Diamonds
Sam Smith;I'm Not The Only One;;;;;;;;;;;;Sam Smith;*I'm Not The Only One
Sam Smith;Stay With Me;;;;;;;;;;;;Sam Smith;*Stay With Me
Sam Smith, Normani;Dancing with a stranger (+ duet);;;;;;;;;;;;Sam Smith, Normani;*Dancing with a stranger (+ duet)
Sam Sparro;Black And Gold;;;;;;;;;;;;Sam Sparro;*Black And Gold
Sam Sparro;Happiness;;;;;;;;;;;;Sam Sparro;*Happiness
Sam The Sham & The Pharaohs;Wooly Bully;;;;;;;;;;;;Sam The Sham & The Pharaohs;*Wooly Bully
Samantha Fox;Nothing's gonna stop me now;;;;;;;;;;;;Samantha Fox;*Nothing's gonna stop me now
Samantha Fox;Touch Me (I Want Your Body);;;;;;;;;;;;Samantha Fox;*Touch Me (I Want Your Body)
Samson & Gert;De Wereld Is Mooi;;;;;;;;;;;;Samson & Gert;*De Wereld Is Mooi
Sandie Shaw;Puppet on a string;;;;;;;;;;;;Sandie Shaw;*Puppet on a string
Sandra;Everlasting love;;;;;;;;;;;;Sandra;*Everlasting love
Sandra;In The Heat Of The Night;;;;;;;;;;;;Sandra;*In The Heat Of The Night
Sandra;Maria Magdalena (duet);;;;;;;;;;;;Sandra;*Maria Magdalena (duet)
Santana;Into The Night;;;;;;;;;;;;Santana;*Into The Night
Santana;María María;;;;;;;;;;;;Santana;*María María
Santana;She's not there;;;;;;;;;;;;Santana;*She's not there
Santana;Smooth;;;;;;;;;;;;Santana;*Smooth
Santana ft. Michelle Branch;The game of love;;;;;;;;;;;;Santana ft. Michelle Branch;*The game of love
Sarah McLachlan;Angel;;;;;;;;;;;;Sarah McLachlan;*Angel
Savage Garden;Crash and burn;;;;;;;;;;;;Savage Garden;*Crash and burn
Savage Garden;I Want You;;;;;;;;;;;;Savage Garden;*I Want You
Savage Garden;To the Moon and Back;;;;;;;;;;;;Savage Garden;*To the Moon and Back
Savage Garden;Truly Madly Deeply;;;;;;;;;;;;Savage Garden;*Truly Madly Deeply
Scissor Sisters;I Don't Feel Like Dancin';;;;;;;;;;;;Scissor Sisters;*I Don't Feel Like Dancin'
Scissor Sisters;Laura;;;;;;;;;;;;Scissor Sisters;*Laura
Scissor Sisters;Take your mama;;;;;;;;;;;;Scissor Sisters;*Take your mama
Scooter;One (Always Hardcore);;;;;;;;;;;;Scooter;*One (Always Hardcore)
Scorpions;Rock You Like a Hurricane;;;;;;;;;;;;Scorpions;*Rock You Like a Hurricane
Scorpions;Send Me an Angel;;;;;;;;;;;;Scorpions;*Send Me an Angel
Scorpions;Still loving you;;;;;;;;;;;;Scorpions;*Still loving you
Scorpions;Wind of Change;;;;;;;;;;;;Scorpions;*Wind of Change
Scott McKenzie;San Francisco;;;;;;;;;;;;Scott McKenzie;*San Francisco
Seal;Crazy;;;;;;;;;;;;Seal;*Crazy
Seal;Kiss From A Rose;;;;;;;;;;;;Seal;*Kiss From A Rose
Sean Kingston;Beautiful Girls;;;;;;;;;;;;Sean Kingston;*Beautiful Girls
Selena Gomez;Come And Get It;;;;;;;;;;;;Selena Gomez;*Come And Get It
Selena Gomez;The Heart Wants What It Wants;;;;;;;;;;;;Selena Gomez;*The Heart Wants What It Wants
Selena Gomez & Marshmello;Wolves;;;;;;;;;;;;Selena Gomez & Marshmello;*Wolves
Selena Gomez & The Scene;Love You Like A Love Song;;;;;;;;;;;;Selena Gomez & The Scene;*Love You Like A Love Song
Selena Gomez & The Scene;Tell Me Somthing I Don't Know;;;;;;;;;;;;Selena Gomez & The Scene;*Tell Me Somthing I Don't Know
Shaggy;Boombastic;;;;;;;;;;;;Shaggy;*Boombastic
Shaggy ft. Rikrok;It wasn't me;;;;;;;;;;;;Shaggy ft. Rikrok;*It wasn't me
Shakespears Sister;Stay (+ duet);;;;;;;;;;;;Shakespears Sister;*Stay (+ duet)
Shakin’ Stevens ;Merry Christmas Everyone;;;;;;;;;;;;Shakin’ Stevens ;*Merry Christmas Everyone
Shakira;Gypsy;;;;;;;;;;;;Shakira;*Gypsy
Shakira;Objection (Tango);;;;;;;;;;;;Shakira;*Objection (Tango)
Shakira;She wolf;;;;;;;;;;;;Shakira;*She wolf
Shakira;Underneath Your Clothes;;;;;;;;;;;;Shakira;*Underneath Your Clothes
Shakira;Waka Waka (This Time for Africa);;;;;;;;;;;;Shakira;*Waka Waka (This Time for Africa)
Shakira;Whenever wherever;;;;;;;;;;;;Shakira;*Whenever wherever
Shampoo;Trouble;;;;;;;;;;;;Shampoo;*Trouble
Shangri Las;Leader Of The Pack;;;;;;;;;;;;Shangri Las;*Leader Of The Pack
Shania Twain;Don't Be Stupid;;;;;;;;;;;;Shania Twain;*Don't Be Stupid
Shania Twain;From this moment on;;;;;;;;;;;;Shania Twain;*From this moment on
Shania Twain;Man! I Feel Like a Woman!;;;;;;;;;;;;Shania Twain;*Man! I Feel Like a Woman!
Shawn Mendes;In My Blood;;;;;;;;;;;;Shawn Mendes;*In My Blood
Shawn Mendes & Camila Cabello;Señorita (+ duet);;;;;;;;;;;;Shawn Mendes & Camila Cabello;*Señorita (+ duet)
Sheena Easton;For Your Eyes Only;;;;;;;;;;;;Sheena Easton;*For Your Eyes Only
Sheena Easton;Morning Train;;;;;;;;;;;;Sheena Easton;*Morning Train
Shocking Blue;Venus;;;;;;;;;;;;Shocking Blue;*Venus
Sia;Alive;;;;;;;;;;;;Sia;*Alive
Sia;Chandelier;;;;;;;;;;;;Sia;*Chandelier
Sia;The Greatest;;;;;;;;;;;;Sia;*The Greatest
Sia;Unstoppable;;;;;;;;;;;;Sia;*Unstoppable
Sigue Sigue Sputnik;Love Missile F1-11;;;;;;;;;;;;Sigue Sigue Sputnik;*Love Missile F1-11
Silk City, Dua Lipa & Mark Ronson;Electricity;;;;;;;;;;;;Silk City, Dua Lipa & Mark Ronson;*Electricity
Simon & Garfunkel;Bridge Over Troubled Water;;;;;;;;;;;;Simon & Garfunkel;*Bridge Over Troubled Water
Simon & Garfunkel;Cecilia;;;;;;;;;;;;Simon & Garfunkel;*Cecilia
Simon & Garfunkel;El Condor Pasa;;;;;;;;;;;;Simon & Garfunkel;*El Condor Pasa
Simon & Garfunkel;Homeward Bound;;;;;;;;;;;;Simon & Garfunkel;*Homeward Bound
Simon & Garfunkel;The Sound of Silence;;;;;;;;;;;;Simon & Garfunkel;*The Sound of Silence
Simple Minds;Alive and kicking;;;;;;;;;;;;Simple Minds;*Alive and kicking
Simple Minds;All the things she said;;;;;;;;;;;;Simple Minds;*All the things she said
Simple Minds;Don't You Forget About Me;;;;;;;;;;;;Simple Minds;*Don't You Forget About Me
Simple Minds;Promised you a miracle;;;;;;;;;;;;Simple Minds;*Promised you a miracle
Simply Red;Fairground;;;;;;;;;;;;Simply Red;*Fairground
Simply Red;Holding back the years;;;;;;;;;;;;Simply Red;*Holding back the years
Simply Red;If you don't know me by now;;;;;;;;;;;;Simply Red;*If you don't know me by now
Simply Red;Money's too tight to mention;;;;;;;;;;;;Simply Red;*Money's too tight to mention
Simply Red;Stars;;;;;;;;;;;;Simply Red;*Stars
Sinead O'Connor;Nothing Compares 2 U;;;;;;;;;;;;Sinead O'Connor;*Nothing Compares 2 U
Sir Mix-a-Lot;Baby Got Back;;;;;;;;;;;;Sir Mix-a-Lot;*Baby Got Back
Sister Sledge;He's The Greatest Dancer;;;;;;;;;;;;Sister Sledge;*He's The Greatest Dancer
Sister Sledge;We Are Family;;;;;;;;;;;;Sister Sledge;*We Are Family
Sixpence None The Richer;Kiss Me;;;;;;;;;;;;Sixpence None The Richer;*Kiss Me
Skunk Anansie;Weak As I Am;;;;;;;;;;;;Skunk Anansie;*Weak As I Am
Slade;Merry Christmas everybody;;;;;;;;;;;;Slade;*Merry Christmas everybody
Smash Mouth;All Star;;;;;;;;;;;;Smash Mouth;*All Star
Smash Mouth;Why Can't We Be Friends;;;;;;;;;;;;Smash Mouth;*Why Can't We Be Friends
Smashing Pumpkins;1979;;;;;;;;;;;;Smashing Pumpkins;*1979
Smashing Pumpkins;Bullet With Butterfly Wings;;;;;;;;;;;;Smashing Pumpkins;*Bullet With Butterfly Wings
Smashing Pumpkins;Disarm;;;;;;;;;;;;Smashing Pumpkins;*Disarm
Smashing Pumpkins;Tonight,Tonight;;;;;;;;;;;;Smashing Pumpkins;*Tonight,Tonight
Smiths;Bigmouth strikes again;;;;;;;;;;;;Smiths;*Bigmouth strikes again
Smiths;Girlfriend in a coma;;;;;;;;;;;;Smiths;*Girlfriend in a coma
Smiths;How Soon is Now;;;;;;;;;;;;Smiths;*How Soon is Now
